repository_name,repository_url,file_path,line_number,code_snippet,explanation
OPTML-Group/Unlearn-Saliency,https://github.com/OPTML-Group/Unlearn-Saliency,DDPM/evaluator.py,10,"] = f""{cuda_path}/lib64:{os.environ.get('LD_LIBRARY_PATH', '')}""",Library Path Mismatch: LD_LIBRARY_PATH is hardcoded. This can point to non-existent or wrong paths causing TensorFlow to slow down or fail when loading libraries.
susurrant/rs-img-classification,https://github.com/susurrant/rs-img-classification,src/unet_1024.py,9,os.environ['LD_LIBRARY_PATH']='/usr/local/cuda-8.0/lib64',Library Path Mismatch: LD_LIBRARY_PATH is hardcoded. This can point to non-existent or wrong paths causing TensorFlow to slow down or fail when loading libraries.
K1nght/Unified-Unlearning-w-Remain-Geometry,https://github.com/K1nght/Unified-Unlearning-w-Remain-Geometry,DDPM/evaluator.py,10,"] = f""{cuda_path}/lib64:{os.environ.get('LD_LIBRARY_PATH', '')}""",Library Path Mismatch: LD_LIBRARY_PATH is hardcoded. This can point to non-existent or wrong paths causing TensorFlow to slow down or fail when loading libraries.
mlcommons/training_results_v1.0,https://github.com/mlcommons/training_results_v1.0,Habana/benchmarks/bert/implementations/bert-tf-sys-420gh-tngr/TensorFlow/common/library_loader.py,60,"locations += os.environ.get(""LD_LIBRARY_PATH"").split("":"")",Library Path Mismatch: LD_LIBRARY_PATH is hardcoded. This can point to non-existent or wrong paths causing TensorFlow to slow down or fail when loading libraries.
mlcommons/training_results_v1.0,https://github.com/mlcommons/training_results_v1.0,Habana/benchmarks/resnet/implementations/resnet-tf-sys-420gh-tngr/TensorFlow/common/library_loader.py,60,"locations += os.environ.get(""LD_LIBRARY_PATH"").split("":"")",Library Path Mismatch: LD_LIBRARY_PATH is hardcoded. This can point to non-existent or wrong paths causing TensorFlow to slow down or fail when loading libraries.
nebuly-ai/optimate,https://github.com/nebuly-ai/optimate,optimization/nebullvm/nebullvm/operations/inference_learners/onnx.py,117,"and os.environ.get(""LD_LIBRARY_PATH"", False)",Library Path Mismatch: LD_LIBRARY_PATH is hardcoded. This can point to non-existent or wrong paths causing TensorFlow to slow down or fail when loading libraries.
ekurtgl/AWR2243-Radar-GUI,https://github.com/ekurtgl/AWR2243-Radar-GUI,radar.py,78,"os.environ[""LD_LIBRARY_PATH""] = self.cwd",Library Path Mismatch: LD_LIBRARY_PATH is hardcoded. This can point to non-existent or wrong paths causing TensorFlow to slow down or fail when loading libraries.
hansen7/OcCo,https://github.com/hansen7/OcCo,OcCo_TF/pc_distance/tf_nndistance.py,5,"os.environ[""LD_LIBRARY_PATH""] = ""/usr/local/lib/python3.5/dist-packages/tensorflow/""",Library Path Mismatch: LD_LIBRARY_PATH is hardcoded. This can point to non-existent or wrong paths causing TensorFlow to slow down or fail when loading libraries.
dreasysnail/CoCon,https://github.com/dreasysnail/CoCon,interpolation.py,15,# os.environ['LD_LIBRARY_PATH'] = '/home/yizhe/cudnn/cuda/lib64',Library Path Mismatch: LD_LIBRARY_PATH is hardcoded. This can point to non-existent or wrong paths causing TensorFlow to slow down or fail when loading libraries.
dreasysnail/CoCon,https://github.com/dreasysnail/CoCon,interpolation.py,82,os.environ['CUDA_VISIBLE_DEVICES'] = str(GPUID),Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
ZerojumpLine/OverfittingUnderClassImbalance,https://github.com/ZerojumpLine/OverfittingUnderClassImbalance,DeepMedic/deepMedicRun,99,"os.environ[""CUDA_VISIBLE_DEVICES""] = """"",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
ZerojumpLine/OverfittingUnderClassImbalance,https://github.com/ZerojumpLine/OverfittingUnderClassImbalance,DeepMedic/deepMedicRun,104,"os.environ[""CUDA_VISIBLE_DEVICES""] = dev_string[ len(ARG_GPU_PROC) : ]",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
pointblank-club/edgeFlow,https://github.com/pointblank-club/edgeFlow,src/edgeflow/deployment/deployment_packager.py,308,os.environ['CUDA_VISIBLE_DEVICES'] = '0',Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
ldkong1205/PointCloud-C,https://github.com/ldkong1205/PointCloud-C,zoo/OcCo/OcCo_TF/pc_distance/tf_nndistance.py,5,"os.environ[""LD_LIBRARY_PATH""] = ""/usr/local/lib/python3.5/dist-packages/tensorflow/""",Library Path Mismatch: LD_LIBRARY_PATH is hardcoded. This can point to non-existent or wrong paths causing TensorFlow to slow down or fail when loading libraries.
1minds3t/omnipkg,https://github.com/1minds3t/omnipkg,src/omnipkg/isolation/worker_daemon.py,867,"current_ld = os.environ.get('LD_LIBRARY_PATH', '')",Library Path Mismatch: LD_LIBRARY_PATH is hardcoded. This can point to non-existent or wrong paths causing TensorFlow to slow down or fail when loading libraries.
1minds3t/omnipkg,https://github.com/1minds3t/omnipkg,src/omnipkg/isolation/worker_daemon.py,871,os.environ['LD_LIBRARY_PATH'] = new_ld,Library Path Mismatch: LD_LIBRARY_PATH is hardcoded. This can point to non-existent or wrong paths causing TensorFlow to slow down or fail when loading libraries.
donkirkby/zero-play,https://github.com/donkirkby/zero-play,zero_play/zero_play.py,415,#         library_path = os.environ.get('LD_LIBRARY_PATH'),Library Path Mismatch: LD_LIBRARY_PATH is hardcoded. This can point to non-existent or wrong paths causing TensorFlow to slow down or fail when loading libraries.
pierrebaque/GeometricConvolutionsBench,https://github.com/pierrebaque/GeometricConvolutionsBench,BenchmarkStandardConvolution.py,10,"os.environ[""CUDA_VISIBLE_DEVICES""]=""0""",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
chineseocr/chineseocr,https://github.com/chineseocr/chineseocr,app.py,24,"os.environ[""CUDA_VISIBLE_DEVICES""] = str(GPUID)",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
chineseocr/chineseocr,https://github.com/chineseocr/chineseocr,app.py,36,"os.environ[""CUDA_VISIBLE_DEVICES""] = ''",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
weizhepei/CasRel,https://github.com/weizhepei/CasRel,run.py,6,"os.environ[""CUDA_VISIBLE_DEVICES""] = ""1""",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
610265158/face_landmark,https://github.com/610265158/face_landmark,vis.py,10,"os.environ[""CUDA_VISIBLE_DEVICES""] = ""0""",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
DebeshJha/ResUNetPlusPlus-with-CRF-and-TTA,https://github.com/DebeshJha/ResUNetPlusPlus-with-CRF-and-TTA,roc.py,5,"#os.environ[""CUDA_VISIBLE_DEVICES""]=""0"";",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
CompVis/unsupervised-disentangling,https://github.com/CompVis/unsupervised-disentangling,main.py,13,"os.environ[""CUDA_VISIBLE_DEVICES""] = str(arg.gpu)",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
ppocma/ppocma,https://github.com/ppocma/ppocma,MLP.py,4,"os.environ[""CUDA_VISIBLE_DEVICES""]=""-1"" #disable Tensorflow GPU usage, these simple graphs run faster on CPU",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
ryanzhang22/Landscape-GAN,https://github.com/ryanzhang22/Landscape-GAN,GAN.py,15,"os.environ[""CUDA_VISIBLE_DEVICES""]=""0,1""",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
jiyegege/AnimeGANv2_Tensorflow2,https://github.com/jiyegege/AnimeGANv2_Tensorflow2,pre.py,11,"os.environ[""CUDA_VISIBLE_DEVICES""] = ""0""",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
zysszy/TreeGen,https://github.com/zysszy/TreeGen,run.py,14,"os.environ[""CUDA_VISIBLE_DEVICES""]=""5""",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
siqi13579/ctr_Keras,https://github.com/siqi13579/ctr_Keras,wd.py,18,"os.environ[""CUDA_VISIBLE_DEVICES""] = ""0""",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
VachelHU/EvoNet,https://github.com/VachelHU/EvoNet,run.py,31,"os.environ[""CUDA_VISIBLE_DEVICES""] = params.id_gpu",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
VachelHU/EvoNet,https://github.com/VachelHU/EvoNet,run.py,110,"os.environ[""CUDA_VISIBLE_DEVICES""] = params.id_gpu",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
lok419/Reinforcement_learning_on_portfolio_selection,https://github.com/lok419/Reinforcement_learning_on_portfolio_selection,DPG.py,15,"os.environ[""CUDA_VISIBLE_DEVICES""] = '1' #use GPU with ID 4",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
skloisMary/tensorflow_CRNN,https://github.com/skloisMary/tensorflow_CRNN,run.py,30,os.environ['CUDA_VISIBLE_DEVICES'] = '1',Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
wencolani/IterE,https://github.com/wencolani/IterE,main.py,10,"os.environ[""CUDA_VISIBLE_DEVICES""] = ""1""",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
xiaoyu2018/QuantumCnn-NetworkAttackDetection,https://github.com/xiaoyu2018/QuantumCnn-NetworkAttackDetection,bp.py,7,"# os.environ[""CUDA_VISIBLE_DEVICES""] = ""-1""",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
SongDark/GAN_collections,https://github.com/SongDark/GAN_collections,gan.py,5,"os.environ[""CUDA_VISIBLE_DEVICES""] = ""0""",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
AI-secure/DataLens,https://github.com/AI-secure/DataLens,fid.py,266,# os.environ['CUDA_VISIBLE_DEVICES'] = args.gpu,Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
chenchao15/LPI,https://github.com/chenchao15/LPI,LPI.py,44,"os.environ[""CUDA_VISIBLE_DEVICES""]= cuda_idx",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
clinfo/kGCN,https://github.com/clinfo/kGCN,gcn.py,751,"os.environ['CUDA_VISIBLE_DEVICES'] = """"",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
clinfo/kGCN,https://github.com/clinfo/kGCN,gcn.py,753,os.environ['CUDA_VISIBLE_DEVICES'] = args.gpu,Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
musikisomorphie/wgan-div,https://github.com/musikisomorphie/wgan-div,fid.py,221,os.environ['CUDA_VISIBLE_DEVICES'] = args.gpu,Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
xtudbxk/SEC-tensorflow,https://github.com/xtudbxk/SEC-tensorflow,SEC.py,6,"os.environ[""CUDA_VISIBLE_DEVICES""] = sys.argv[1]",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
Cyberheroess/Quze,https://github.com/Cyberheroess/Quze,GPU.py,14,"os.environ[""CUDA_VISIBLE_DEVICES""] = ""0""",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
Cyberheroess/Quze,https://github.com/Cyberheroess/Quze,GPU.py,17,"os.environ[""CUDA_VISIBLE_DEVICES""] = ""-1""",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
wildsky95/ZT-PFR,https://github.com/wildsky95/ZT-PFR,SAC.py,28,"os.environ[""CUDA_VISIBLE_DEVICES""] = ""0""",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
wildsky95/ZT-PFR,https://github.com/wildsky95/ZT-PFR,PPO.py,28,"os.environ[""CUDA_VISIBLE_DEVICES""] = ""0""",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
wooden-cat/polar-RNN-decoder,https://github.com/wooden-cat/polar-RNN-decoder,OMS.py,10,"os.environ['CUDA_VISIBLE_DEVICES'] = ""2""",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
SS-00-SS/MBCGCN,https://github.com/SS-00-SS/MBCGCN,GCN.py,420,"os.environ[""CUDA_VISIBLE_DEVICES""] = str(args.gpu_id)",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
Xilinx/Vitis-AI,https://github.com/Xilinx/Vitis-AI,examples/vai_quantizer/tensorflow2x/candidate_layer_quantize.py,24,"os.environ[""CUDA_VISIBLE_DEVICES""] = ""0""",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
ZiyaoGeng/RecLearn,https://github.com/ZiyaoGeng/RecLearn,example/m_sasrec_demo.py,19,os.environ['CUDA_VISIBLE_DEVICES'] = '6',Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
gasparian/CRNN-OCR-lite,https://github.com/gasparian/CRNN-OCR-lite,train.py,111,"os.environ[""CUDA_VISIBLE_DEVICES""] = G",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
AlexanderLutsenko/nobuco,https://github.com/AlexanderLutsenko/nobuco,examples/yolo8.py,2,"os.environ[""CUDA_VISIBLE_DEVICES""] = """"",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
YijunBao/Shallow-UNet-Neuron-Segmentation_SUNS,https://github.com/YijunBao/Shallow-UNet-Neuron-Segmentation_SUNS,demo/else/demo_train_CNN_params_online.py,15,# os.environ['CUDA_VISIBLE_DEVICES'] = '0' # Set which GPU to use. '-1' uses only CPU.,Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
uchicago-sandlab/naturalbackdoors,https://github.com/uchicago-sandlab/naturalbackdoors,utils/gen_util.py,43,"os.environ[""CUDA_VISIBLE_DEVICES""] = gpu_num",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
uchicago-sandlab/naturalbackdoors,https://github.com/uchicago-sandlab/naturalbackdoors,utils/gen_util.py,50,"os.environ[""CUDA_VISIBLE_DEVICES""] = str(gpu)",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
WANG-Chaoyue/EvolutionaryGAN-pytorch,https://github.com/WANG-Chaoyue/EvolutionaryGAN-pytorch,TTUR/fid.py,248,os.environ['CUDA_VISIBLE_DEVICES'] = args.gpu,Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
cadia-lvl/punctuation-prediction,https://github.com/cadia-lvl/punctuation-prediction,punctuation_package/punctuator/models.py,3,"os.environ[""CUDA_VISIBLE_DEVICES""] = ""-1""",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
yongzhuo/nlp_xiaojiang,https://github.com/yongzhuo/nlp_xiaojiang,ChatBot/chatbot_search/chatbot_tfserving/bertWhiteTrain.py,15,"# os.environ[""CUDA_VISIBLE_DEVICES""] = ""-1""",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
safe-graph/DGFraud,https://github.com/safe-graph/DGFraud,algorithms/GAS/GAS_main.py,17,"# os.environ['CUDA_VISIBLE_DEVICES'] = '0,1'",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
pulver22/QLAB,https://github.com/pulver22/QLAB,deep_reinforced_landing/src/descending/descending_train.py,28,"os.environ[""CUDA_VISIBLE_DEVICES""] = ""0""",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
Ascend/ModelZoo-TensorFlow,https://github.com/Ascend/ModelZoo-TensorFlow,TensorFlow2/built-in/recommendation/FFM_ID2632_for_TensorFlow2.X/train.py,150,# os.environ['CUDA_VISIBLE_DEVICES'] = '4',Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
yu-bo/stock,https://github.com/yu-bo/stock,trainning.py,25,"# os.environ[""CUDA_VISIBLE_DEVICES""] = ""-1""",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
DLTK/DLTK,https://github.com/DLTK/DLTK,examples/applications/MRBrainS13_tissue_segmentation/train.py,225,"os.environ[""CUDA_VISIBLE_DEVICES""] = args.cuda_devices",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
hugman/deep_learning,https://github.com/hugman/deep_learning,tutorial/tf_models/applications/named_entity_recognition/tf_train_exercise.py,229,os.environ['CUDA_VISIBLE_DEVICES'] = '-1'  # force to use cpu only (prediction),Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
BNN-UPC/DRL-ES-OTN,https://github.com/BNN-UPC/DRL-ES-OTN,train_PPO_agent.py,22,os.environ['CUDA_VISIBLE_DEVICES'] = '-1',Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
covao/TatamiRacer,https://github.com/covao/TatamiRacer,raspi/mycar/manage.py,206,"os.environ[""CUDA_VISIBLE_DEVICES""]=""-1""",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
reza321/T-Miner,https://github.com/reza321/T-Miner,ag_news/main_evaluation.py,30,os.environ['CUDA_VISIBLE_DEVICES'] = sys.argv[6],Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
shu-hai/SA_DNN,https://github.com/shu-hai/SA_DNN,aaaipapercodes/MNIST_DenseNet121_outlier.py,10,"os.environ[""CUDA_VISIBLE_DEVICES""] = ""2,3""",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
kuandeng/LightGCN,https://github.com/kuandeng/LightGCN,LightGCN.py,430,"os.environ[""CUDA_VISIBLE_DEVICES""] = str(args.gpu_id)",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
NevarMovin/MT-CSI,https://github.com/NevarMovin/MT-CSI,MT-CsiNet/Fine-tuning-outdoor.py,14,"os.environ[""CUDA_VISIBLE_DEVICES""] = ""1""",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
med-air/FL-COVID,https://github.com/med-air/FL-COVID,fl_covid/bin/train_fed.py,362,os.environ['CUDA_VISIBLE_DEVICES'] = args.gpu,Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
Xilinx/Vitis-AI,https://github.com/Xilinx/Vitis-AI,src/vai_quantizer/vai_q_tensorflow2.x/tensorflow_model_optimization/python/core/quantization/keras/vitis/vai_q_tensorflow/tools/show_pb_in_tensorboard.py,19,os.environ['CUDA_VISIBLE_DEVICES'] = FLAGS.gpu,Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
ml-jku/bgnn,https://github.com/ml-jku/bgnn,bgnn/tf/ablations/processHopper1Ab2.py,35,#os.environ['CUDA_VISIBLE_DEVICES']='',Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
kbunal/AerialManipulatorDRL,https://github.com/kbunal/AerialManipulatorDRL,AerialManipulatorDRL/train/trainOnPolicies.py,15,"os.environ[""CUDA_VISIBLE_DEVICES""] = """" # not use gpu since performance becomes worse",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
yimutianyang/SIGIR2021-EGLN,https://github.com/yimutianyang/SIGIR2021-EGLN,code/pinterest_code/egln.py,227,"os.environ[""CUDA_VISIBLE_DEVICES""] = str(device_id)",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
ThreePoundUniverse/MACTN,https://github.com/ThreePoundUniverse/MACTN,main_3set.py,147,"os.environ['CUDA_VISIBLE_DEVICES'] = str(CFG.device) if isinstance(CFG.device, int) else ','.join(str(_) for _ in CFG.device)",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
BrandyJer/Start-Tensorflow--,https://github.com/BrandyJer/Start-Tensorflow--,final_code/tf_video-diffmpeg.py,25,"#os.environ[""CUDA_VISIBLE_DEVICES""] = """"",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
BrandyJer/Start-Tensorflow--,https://github.com/BrandyJer/Start-Tensorflow--,final_code/tf_video-diffmpeg.py,26,"os.environ[""CUDA_VISIBLE_DEVICES""] = ""0""",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
InsaneMonster/telerl2021,https://github.com/InsaneMonster/telerl2021,phy_execute/bernoulli/phy_ppo_6_inference.py,120,"os.environ[""CUDA_VISIBLE_DEVICES""] = cuda_devices",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
papercode-for-cheung/DeepMGT-DTI,https://github.com/papercode-for-cheung/DeepMGT-DTI,main.py,28,os.environ['CUDA_VISIBLE_DEVICES']='0',Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
s-tian/mbold,https://github.com/s-tian/mbold,classifier_control/train.py,167,"os.environ[""CUDA_VISIBLE_DEVICES""] = str(args.gpu)",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
s-tian/mbold,https://github.com/s-tian/mbold,classifier_control/train.py,169,"os.environ[""CUDA_VISIBLE_DEVICES""] = str(0)",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
